No,Desa/Kelurahan,Kecamatan,Luas total area,Jarak ke ibu kota kecamatan ,Jarak ke ibu kota kabupaten ,Akomodasi. hotel. homestay,Restourant/Tempat makan,Jenis prasarana trasportasi,Jenis permukaan  jalan darat,Jumlah Menara Telepon Seluler,Media Online,Pantai/Danau,Failitas,Harga Tiket,Rating,Wisman,Wisnus
340,269,2,14,11,46,0,0,1,0,0,0,0,0,0,0,0,0
341,332,2,5,9,36,0,0,1,1,0,0,0,0,0,0,0,0
342,333,2,5,11,33,0,0,1,1,1,0,0,0,0,0,0,0
343,426,2,10,15,33,0,0,1,0,1,0,0,0,0,0,0,0
344,222,2,16,17,31,0,0,1,0,1,0,0,0,0,0,0,0
345,430,2,14,9,42,0,0,1,1,2,0,0,0,0,0,0,0
346,261,2,8,9,55,0,0,1,1,0,0,0,0,0,0,0,0
347,405,2,8,6,61,0,0,1,0,0,0,0,0,0,0,0,0
348,416,2,10,9,63,0,0,1,4,2,0,0,0,0,0,0,0
349,12,2,6,6,60,0,0,1,1,0,0,0,0,0,0,0,0
350,154,2,3,3,58,0,0,1,1,0,0,0,0,0,0,0,0
351,254,2,8,3,55,0,0,1,1,1,0,0,0,0,0,0,0
352,253,2,5,8,53,0,1,1,1,2,1,1,3,5000,4,0,1999
353,406,2,5,8,52,0,0,1,1,1,0,0,0,0,0,0,0
354,264,2,2,6,48,0,0,1,1,0,0,0,0,0,0,0,0
355,53,2,3,4,50,0,2,1,1,1,1,2,2,5000,4,8,28370
356,247,2,3,1,52,0,0,1,4,0,0,0,0,0,0,0,0
